[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    9    0    0    1 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]   33    0    0    1 / 1000     1.1s test_prop_SinglePreserve (collecting)
[ ]   65    0    0    4 / 1000     1.4s test_prop_SinglePreserve (collecting)
[ ]   74    0    0    4 / 1000     3.7s test_prop_SinglePreserve (collecting)
[ ]   88    0    0    4 / 1000     3.9s test_prop_SinglePreserve (collecting)
[ ]  121    0    0    7 / 1000     4.0s test_prop_SinglePreserve (collecting)
[ ]  137    0    0   10 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  140    0    0   10 / 1000     5.1s test_prop_SinglePreserve (collecting)
[ ]  145    0    0   10 / 1000     7.5s test_prop_SinglePreserve (collecting)
[ ]  168    0    0   11 / 1000     8.1s test_prop_SinglePreserve (collecting)
[ ]  185    0    0   14 / 1000     9.0s test_prop_SinglePreserve (collecting)
[ ]  189    0    0   14 / 1000     9.7s test_prop_SinglePreserve (collecting)
[ ]  192    0    0   14 / 1000     9.9s test_prop_SinglePreserve (collecting)
[ ]  201    0    0   14 / 1000    10.2s test_prop_SinglePreserve (collecting)
[ ]  240    0    0   21 / 1000    10.3s test_prop_SinglePreserve (collecting)
[ ]  264    0    0   23 / 1000    10.4s test_prop_SinglePreserve (collecting)
[ ]  269    0    0   23 / 1000    10.5s test_prop_SinglePreserve (collecting)
[ ]  272    0    0   24 / 1000    12.9s test_prop_SinglePreserve (collecting)
[ ]  307    0    0   26 / 1000    13.0s test_prop_SinglePreserve (collecting)
[ ]  311    0    0   26 / 1000    13.8s test_prop_SinglePreserve (collecting)
[ ]  319    0    0   26 / 1000    14.0s test_prop_SinglePreserve (collecting)
[ ]  336    0    0   27 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  343    0    0   27 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  361    0    0   28 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  373    0    0   30 / 1000    18.1s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   30 / 1000    18.2s test_prop_SinglePreserve (collecting)
[ ]  415    0    0   30 / 1000    19.0s test_prop_SinglePreserve (collecting)
[ ]  417    0    0   30 / 1000    19.1s test_prop_SinglePreserve (collecting)
[ ]  422    0    0   31 / 1000    19.8s test_prop_SinglePreserve (collecting)
[ ]  427    0    0   31 / 1000    20.1s test_prop_SinglePreserve (collecting)
[ ]  442    0    0   31 / 1000    20.2s test_prop_SinglePreserve (collecting)
[ ]  482    0    0   36 / 1000    20.3s test_prop_SinglePreserve (collecting)
[ ]  506    0    0   36 / 1000    21.2s test_prop_SinglePreserve (collecting)
[ ]  525    0    0   37 / 1000    21.3s test_prop_SinglePreserve (collecting)
[ ]  538    0    0   38 / 1000    21.7s test_prop_SinglePreserve (collecting)
[ ]  554    0    0   41 / 1000    21.8s test_prop_SinglePreserve (collecting)
[ ]  579    0    0   44 / 1000    21.9s test_prop_SinglePreserve (collecting)
[ ]  592    0    0   45 / 1000    22.0s test_prop_SinglePreserve (collecting)
[ ]  603    0    0   46 / 1000    22.2s test_prop_SinglePreserve (collecting)
[ ]  613    0    0   46 / 1000    22.3s test_prop_SinglePreserve (collecting)
[ ]  627    0    0   46 / 1000    23.1s test_prop_SinglePreserve (collecting)
[ ]  643    0    0   48 / 1000    23.3s test_prop_SinglePreserve (collecting)
[ ]  657    0    0   48 / 1000    24.0s test_prop_SinglePreserve (collecting)
[ ]  668    0    0   48 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  686    0    0   49 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  700    0    0   50 / 1000    27.2s test_prop_SinglePreserve (collecting)
