[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    1    0    0    0 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]   24    0    0    1 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]   63    0    0    4 / 1000     1.1s test_prop_SinglePreserve (collecting)
[ ]   70    0    0    6 / 1000     1.2s test_prop_SinglePreserve (collecting)
[ ]  101    0    0    9 / 1000     1.3s test_prop_SinglePreserve (collecting)
[ ]  113    0    0   10 / 1000     2.1s test_prop_SinglePreserve (collecting)
[ ]  120    0    0   10 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]  139    0    0   10 / 1000     2.7s test_prop_SinglePreserve (collecting)
[ ]  149    0    0   13 / 1000     3.5s test_prop_SinglePreserve (collecting)
[ ]  153    0    0   13 / 1000     3.8s test_prop_SinglePreserve (collecting)
[ ]  184    0    0   16 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  195    0    0   19 / 1000     4.3s test_prop_SinglePreserve (collecting)
[ ]  219    0    0   23 / 1000     6.5s test_prop_SinglePreserve (collecting)
[ ]  221    0    0   23 / 1000     6.7s test_prop_SinglePreserve (collecting)
[ ]  233    0    0   25 / 1000     7.5s test_prop_SinglePreserve (collecting)
[ ]  244    0    0   26 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  255    0    0   28 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  287    0    0   30 / 1000    11.5s test_prop_SinglePreserve (collecting)
[ ]  325    0    0   32 / 1000    11.6s test_prop_SinglePreserve (collecting)
[ ]  354    0    0   34 / 1000    11.7s test_prop_SinglePreserve (collecting)
[ ]  359    0    0   35 / 1000    12.7s test_prop_SinglePreserve (collecting)
[ ]  379    0    0   38 / 1000    12.8s test_prop_SinglePreserve (collecting)
[ ]  383    0    0   38 / 1000    13.0s test_prop_SinglePreserve (collecting)
[ ]  401    0    0   38 / 1000    13.1s test_prop_SinglePreserve (collecting)
[ ]  418    0    0   38 / 1000    13.8s test_prop_SinglePreserve (collecting)
[ ]  432    0    0   39 / 1000    14.7s test_prop_SinglePreserve (collecting)
[ ]  441    0    0   40 / 1000    15.4s test_prop_SinglePreserve (collecting)
[ ]  460    0    0   42 / 1000    15.5s test_prop_SinglePreserve (collecting)
[ ]  497    0    0   44 / 1000    15.6s test_prop_SinglePreserve (collecting)
[ ]  523    0    0   47 / 1000    16.0s test_prop_SinglePreserve (collecting)
[ ]  551    0    0   52 / 1000    16.1s test_prop_SinglePreserve (collecting)
[ ]  592    0    0   57 / 1000    16.2s test_prop_SinglePreserve (collecting)
[ ]  605    0    0   57 / 1000    17.0s test_prop_SinglePreserve (collecting)
[ ]  615    0    0   57 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  650    0    0   60 / 1000    20.0s test_prop_SinglePreserve (collecting)
[ ]  655    0    0   60 / 1000    20.7s test_prop_SinglePreserve (collecting)
[ ]  658    0    0   60 / 1000    23.0s test_prop_SinglePreserve (collecting)
[ ]  687    0    0   62 / 1000    24.1s test_prop_SinglePreserve (collecting)
[ ]  689    0    0   62 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  708    0    0   65 / 1000    26.7s test_prop_SinglePreserve (collecting)
[ ]  720    0    0   68 / 1000    29.1s test_prop_SinglePreserve (collecting)
[ ]  742    0    0   69 / 1000    31.5s test_prop_SinglePreserve (collecting)
[ ]  767    0    0   71 / 1000    31.6s test_prop_SinglePreserve (collecting)
[ ]  791    0    0   73 / 1000    31.7s test_prop_SinglePreserve (collecting)
[ ]  815    0    0   75 / 1000    31.9s test_prop_SinglePreserve (collecting)
[ ]  827    0    0   76 / 1000    32.9s test_prop_SinglePreserve (collecting)
[ ]  847    0    0   77 / 1000    33.1s test_prop_SinglePreserve (collecting)
[ ]  849    0    0   77 / 1000    33.2s test_prop_SinglePreserve (collecting)
[ ]  877    0    0   82 / 1000    33.3s test_prop_SinglePreserve (collecting)
[ ]  881    0    0   82 / 1000    35.5s test_prop_SinglePreserve (collecting)
[ ]  921    0    0   84 / 1000    35.6s test_prop_SinglePreserve (collecting)
[ ]  934    0    0   85 / 1000    35.8s test_prop_SinglePreserve (collecting)
[ ]  972    0    0   89 / 1000    36.0s test_prop_SinglePreserve (collecting)
[ ]  981    0    0   90 / 1000    36.2s test_prop_SinglePreserve (collecting)
[ ]  991    0    0   90 / 1000    36.3s test_prop_SinglePreserve (collecting)
[ ] 1004    0    0   91 / 1000    36.4s test_prop_SinglePreserve (collecting)
[ ] 1022    0    0   93 / 1000    36.6s test_prop_SinglePreserve (collecting)
[ ] 1058    0    0   94 / 1000    36.7s test_prop_SinglePreserve (collecting)
