[prop_SinglePreserve|
generated error fail pass / total     time test name
\a:Bool,\b:Bool,\c:Bool,\d:(Bool->Bool),\e:Bool,\f:(Bool->(Bool->(Bool->Bool))),\g:Bool,\h:((Bool->(Bool->((((Bool->(Bool->Bool))->Bool)->Bool)->Bool)))->Bool),h \f:Bool,\g:Bool,\h:Bool,true
================================================================================
failure (1 tests failed, 0 tests errored, ran 1 tests)
|prop_SinglePreserve -> 57832.32]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    4    0    0    1 / 1000     0.4s test_prop_SinglePreserve (collecting)
[ ]   39    0    0    3 / 1000     0.5s test_prop_SinglePreserve (collecting)
[ ]   70    0    0    5 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]  113    0    0    6 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]  132    0    0    7 / 1000     1.1s test_prop_SinglePreserve (collecting)
[ ]  150    0    0    7 / 1000     1.8s test_prop_SinglePreserve (collecting)
[ ]  163    0    0    8 / 1000     1.9s test_prop_SinglePreserve (collecting)
[ ]  172    0    0   10 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  175    0    0   11 / 1000     4.7s test_prop_SinglePreserve (collecting)
[ ]  180    0    0   12 / 1000     6.9s test_prop_SinglePreserve (collecting)
[ ]  195    0    0   13 / 1000     9.5s test_prop_SinglePreserve (collecting)
[ ]  206    0    0   14 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  248    0    0   15 / 1000     9.7s test_prop_SinglePreserve (collecting)
[ ]  275    0    0   16 / 1000     9.9s test_prop_SinglePreserve (collecting)
[ ]  283    0    0   17 / 1000    12.3s test_prop_SinglePreserve (collecting)
[ ]  301    0    0   21 / 1000    12.4s test_prop_SinglePreserve (collecting)
[ ]  339    0    0   24 / 1000    12.6s test_prop_SinglePreserve (collecting)
[ ]  355    0    0   25 / 1000    12.8s test_prop_SinglePreserve (collecting)
[ ]  362    0    0   25 / 1000    13.2s test_prop_SinglePreserve (collecting)
[ ]  380    0    0   25 / 1000    15.5s test_prop_SinglePreserve (collecting)
[ ]  384    0    0   25 / 1000    16.3s test_prop_SinglePreserve (collecting)
[ ]  417    0    0   28 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  437    0    0   28 / 1000    17.6s test_prop_SinglePreserve (collecting)
[ ]  464    0    0   32 / 1000    18.4s test_prop_SinglePreserve (collecting)
[ ]  484    0    0   34 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  499    0    0   35 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  502    0    0   35 / 1000    19.4s test_prop_SinglePreserve (collecting)
[ ]  506    0    0   35 / 1000    21.7s test_prop_SinglePreserve (collecting)
[ ]  519    0    0   38 / 1000    22.3s test_prop_SinglePreserve (collecting)
[ ]  555    0    0   41 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  574    0    0   41 / 1000    23.3s test_prop_SinglePreserve (collecting)
[ ]  585    0    0   41 / 1000    23.6s test_prop_SinglePreserve (collecting)
[ ]  614    0    0   42 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  635    0    0   42 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  676    0    0   48 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  704    0    0   52 / 1000    24.9s test_prop_SinglePreserve (collecting)
[ ]  712    0    0   52 / 1000    25.2s test_prop_SinglePreserve (collecting)
[ ]  720    0    0   52 / 1000    25.5s test_prop_SinglePreserve (collecting)
[ ]  748    0    0   54 / 1000    27.8s test_prop_SinglePreserve (collecting)
[ ]  792    0    0   60 / 1000    27.9s test_prop_SinglePreserve (collecting)
[ ]  810    0    0   60 / 1000    28.1s test_prop_SinglePreserve (collecting)
[ ]  832    0    0   63 / 1000    29.2s test_prop_SinglePreserve (collecting)
[ ]  839    0    0   63 / 1000    29.3s test_prop_SinglePreserve (collecting)
