,strategy,variable,value
43,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1) pool.json",10.0,7
44,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1000) pool.json",10.0,3
45,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1) pool.json",10.0,4
46,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",10.0,4
47,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 10) pool.json",10.0,2
48,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",10.0,5
49,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",10.0,3
50,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 100) pool.json",10.0,6
51,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",10.0,2
52,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",10.0,4
53,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",10.0,5
54,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 100) pool.json",10.0,1
55,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 100) pool.json",10.0,5
56,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",10.0,5
57,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1000) pool.json",10.0,5
58,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",10.0,5
59,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 10) pool.json",10.0,9
60,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1) pool.json",10.0,4
61,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 10) pool.json",10.0,7
62,"VariationalMutatingGenerator-StaticSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",10.0,2
63,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1000) pool.json",60.0,2
64,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1) pool.json",60.0,5
65,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1000) pool.json",60.0,0
66,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1) pool.json",60.0,1
67,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",60.0,0
