,workload,strategy,version,discards,foundbug,time,counterexample,inputs,throughput
0,BSTProplang,BespokeFuzzer,0,0.0,1.0,0.010899069811320685,,161.66415094339624,12876.13714409692
1,BSTProplang,BespokeFuzzer,1,0.0,1.0,0.004003269811320676,,59.632075471698116,12494.165624098092
2,BSTProplang,BespokeFuzzer,2,0.0,1.0,0.004729218867924469,,68.0056603773585,12538.288387534989
3,BSTProplang,BespokeFuzzer,3,0.0,1.0,0.032746733962264095,,463.411320754717,12864.071688830045
4,BSTProplang,TypeBasedFuzzer,0,65.66415094339622,1.0,0.006419349056603706,,56.69433962264151,16417.021869525783
5,BSTProplang,TypeBasedFuzzer,1,150.87169811320754,1.0,0.014014850943396146,,126.89811320754717,16277.84962144966
6,BSTProplang,TypeBasedFuzzer,2,105.04528301886792,1.0,0.00902085471698106,,78.79056603773584,16492.463156571805
7,BSTProplang,TypeBasedFuzzer,3,121.78301886792453,1.0,0.012431669811320687,,123.52641509433963,16215.785989401991
8,RBTProplang,TypeBasedFuzzer,0,15347.441176470587,0.9385026737967914,4.817723489304813,,9384.377005347593,15961.318090544082
9,RBTProplang,TypeBasedFuzzer,1,9833.495867768595,0.931129476584022,5.347414738292011,,9283.650137741048,16144.369562415899
10,RBTProplang,TypeBasedFuzzer,2,18311.029490616624,0.938337801608579,5.007192533512064,,12364.276139410187,17180.575353988428
11,RBTProplang,TypeBasedFuzzer,3,10864.01072386059,0.938337801608579,4.4783782225201065,,7369.871313672922,17747.55044497109
12,STLCProplang,TypeBasedFuzzer,0,46511.98870056497,0.9774011299435028,3.710217107344633,,20361.9209039548,27375.287962311315
13,STLCProplang,TypeBasedFuzzer,1,29245.523529411767,0.9764705882352941,2.8950693529411766,,12798.329411764706,27410.445625202286
14,STLCProplang,TypeBasedFuzzer,2,33087.198830409354,0.9766081871345029,3.083115029239766,,14512.555555555555,27275.583032738832
15,STLCProplang,TypeBasedFuzzer,3,30471.470588235294,0.9764705882352941,2.9619987294117647,,13338.011764705883,27038.209946888273
