,workload,strategy,discards,foundbug,time,inputs,throughput
0,BST,BespokeGenerator,0.0,1.0,0.0011222886792452208,22.658490566037734,19699.175309209877
1,BST,SpecificationBasedGenerator,0.0,1.0,0.0004337603773584095,19.20943396226415,48086.22815461162
2,BST,TypeBasedFuzzer,83.26153846153846,1.0,0.008676736538461467,33.63269230769231,9645.86177122591
3,BST,TypeBasedGenerator,147.23962264150944,1.0,0.00443332264150937,165.0320754716981,65756.31842368048
4,BSTProplang,BespokeFuzzer,0.0,1.0,0.008751735849056533,120.71509433962264,11284.011525421263
5,BSTProplang,BespokeGenerator,0.0,1.0,0.0006649198113206982,41.66792452830189,56357.49677663926
6,BSTProplang,SpecificationBasedGenerator,0.0,1.0,0.0011174179245282236,23.9688679245283,39789.115848116846
7,BSTProplang,TypeBasedFuzzer,66.99245283018868,1.0,0.006682569811320702,55.32830188679245,13771.928771502304
8,BSTProplang,TypeBasedGenerator,185.3367924528302,1.0,0.004478915094339557,227.75,93849.92097155387
9,RBT,BespokeGenerator,0.0,1.0,0.019702889655172362,737.0258620689655,27457.123419355077
10,RBT,RookieGenerator,17792.573033707864,1.0,4.692337146067415,2192.5561797752807,7875.939358637591
11,RBT,SpecificationBasedGenerator,3787.641547861507,1.0,0.664861048879837,29607.96537678208,32817.9559424038
12,RBT,TypeBasedFuzzer,9549.48427672956,1.0,1.31058336163522,9996.443396226416,10693.014546116427
13,RBT,TypeBasedGenerator,17930.64857142857,1.0,0.5370113914285713,30886.317142857144,74586.69931148013
14,RBTProplang,BespokeGenerator,0.0,1.0,0.1179518913793103,3381.625,45099.31727350028
15,RBTProplang,SpecificationBasedGenerator,3697.037639877925,1.0,0.7827265554425228,28908.21464903357,38791.26560824561
16,RBTProplang,TypeBasedFuzzer,9619.754285714285,1.0,1.0154376857142857,5963.542857142857,16639.76859820482
17,RBTProplang,TypeBasedGenerator,17280.15691868759,1.0,0.4224424151212553,29794.559201141226,117313.7536626311
18,STLC,BespokeGenerator,0.0,1.0,0.06981148499999994,789.67,11658.218682275312
19,STLC,NewGenerator,0.0,1.0,0.7791003999999999,4273.615,5404.825402535751
20,STLC,SpecificationBasedGenerator,0.04,1.0,0.004099674999999945,90.91,19713.8910752275
21,STLC,TypeBasedFuzzer,21619.02923976608,1.0,2.370361251461988,13927.883040935672,15002.513257960054
22,STLC,TypeBasedGenerator,67270.73,1.0,1.97850695,36574.105,52522.73995086952
23,STLCProplang,BespokeGenerator,0.0,1.0,0.08658777249999992,607.0375,15560.490761371955
24,STLCProplang,NewGenerator,0.0,1.0,0.890538835,4448.455,13127.20105359
25,STLCProplang,SpecificationBasedGenerator,0.5675,1.0,0.008649922499999923,96.5175,10999.518785015242
26,STLCProplang,TypeBasedFuzzer,5260.33962264151,1.0,13.521036396226414,150613.70754716982,11488.340387612801
27,STLCProplang,TypeBasedGenerator,170934.13144329897,1.0,2.472149028350515,75101.28608247422,108503.2493904254
